"","sr_group","ag1","ag2","fc","fc_lower","fc_upper"
"1","delta conv.","D614G","D614G",0,-0.956634539944609,0.992923842353035
"2","delta conv.","D614G","BA.1",-5.94219495633095,-29.3296380097847,-1.28385960356872
"3","delta conv.","D614G","BA.5.3.2",-1.81944551750061,-5.25637423850311,1.11112109725251
"4","delta conv.","D614G","B.1.1.7",-0.173301131826032,-1.31369413521238,0.857129313937361
"5","delta conv.","D614G","B.1.351",-1.06895118236203,-3.77931024558525,1.68390272001363
"6","delta conv.","D614G","B.1.617.2",2.18946974985769,-0.202883048457385,5.18808201342353
"7","delta conv.","D614G","BA.2",-1.70737146208615,-4.0471816077718,0.644944449990204
"8","delta conv.","D614G","CB.1",-5.98007565899441,-19.4586486620437,-2.66225016918552
"9","delta conv.","D614G","BR.3",-4.17981968658595,-7.64791181781514,-1.77241654263464
"10","delta conv.","D614G","CH.1.1",-5.94322944274788,-27.8802382707905,-1.45266035280488
"11","delta conv.","D614G","BA.5.2.1",-1.24745904976384,-2.93281244059494,0.651620236090988
"12","delta conv.","D614G","BE.1.1",-4.19404978629643,-12.4203164964156,-0.615447584944758
"13","delta conv.","D614G","BF.7",-3.08996197069469,-7.9555946885636,-0.219382116731373
"14","delta conv.","D614G","BQ.1.3",-3.58984407531219,-9.1497231416398,-0.0480470495146399
"15","delta conv.","D614G","BQ.1.1",-4.71732466559379,-12.0529557136482,-1.74533664878129
"16","delta conv.","D614G","BQ.1.18",-11.3631029974241,-201.325896981351,-7.01662100925459
"17","delta conv.","D614G","XBB.1",-3.86177728026535,-7.27448388381319,-1.5086545656164
"18","delta conv.","D614G","XBB.1.5",-3.83753921291495,-8.54791809846711,-0.695906830671881
"19","delta conv.","D614G","XBF",-5.9301725673359,-29.2349384621536,-0.726796087553659
"20","delta conv.","BA.1","D614G",5.94219495633095,1.34246963268521,27.5146936500963
"21","delta conv.","BA.1","BA.1",0,-12.7619678541415,11.4230567997065
"22","delta conv.","BA.1","BA.5.3.2",4.33575745342326,-1.20979811467697,25.1003775084147
"23","delta conv.","BA.1","B.1.1.7",5.5850310161244,1.51868629897504,25.5252334222374
"24","delta conv.","BA.1","B.1.351",5.54363170937711,-0.302767671905825,33.2120423855826
"25","delta conv.","BA.1","B.1.617.2",7.45921646042214,4.79512925799682,18.7111752137937
"26","delta conv.","BA.1","BA.2",3.48866750268962,-0.394892328348778,27.2318382132895
"27","delta conv.","BA.1","CB.1",0.0625160915456266,-42.4631794648922,46.3929032695655
"28","delta conv.","BA.1","BR.3",1.53108624195996,-4.14929985964971,16.706123367941
"29","delta conv.","BA.1","CH.1.1",-0.0231475520079571,-13.4395279906674,12.7809751552205
"30","delta conv.","BA.1","BA.5.2.1",4.41412596768418,0.846024749806961,24.0292077904931
"31","delta conv.","BA.1","BE.1.1",2.38290661276584,-4.98704446536927,16.8533286342177
"32","delta conv.","BA.1","BF.7",2.86802097705433,-3.20310889845982,22.3489441003056
"33","delta conv.","BA.1","BQ.1.3",2.65950828448581,-1.68955026071948,15.2271834786129
"34","delta conv.","BA.1","BQ.1.1",1.11530634099586,-6.17996800570035,16.6175563909647
"35","delta conv.","BA.1","BQ.1.18",-5.86330207229723,-198.815065414629,4.01101730928742
"36","delta conv.","BA.1","XBB.1",1.8856869316222,-3.58873311449625,18.0024407981615
"37","delta conv.","BA.1","XBB.1.5",2.83841869888415,-1.57325876753494,14.332681936074
"38","delta conv.","BA.1","XBF",0.553482963684705,-11.8220533133172,12.2876062665511
"39","delta conv.","BA.5.3.2","D614G",1.81944551750061,-1.12209222642108,5.33068255395885
"40","delta conv.","BA.5.3.2","BA.1",-4.33575745342326,-26.1382922381427,1.10165273641681
"41","delta conv.","BA.5.3.2","BA.5.3.2",0,-1.43789779884558,1.43098871775018
"42","delta conv.","BA.5.3.2","B.1.1.7",1.6426594894514,-1.31148096972066,5.02416698764058
"43","delta conv.","BA.5.3.2","B.1.351",0.837863004247799,-0.922077988425036,3.02889666006819
"44","delta conv.","BA.5.3.2","B.1.617.2",3.73675829859836,1.14898878452117,7.69356383671244
"45","delta conv.","BA.5.3.2","BA.2",0.157225103980214,-2.36147032544463,2.96770867024581
"46","delta conv.","BA.5.3.2","CB.1",-4.75935460964171,-82.8449973174494,8.57748576372179
"47","delta conv.","BA.5.3.2","BR.3",-2.29135122194012,-9.388288514611,3.53710824362172
"48","delta conv.","BA.5.3.2","CH.1.1",-4.34082295185298,-23.3016806010164,0.609535592739914
"49","delta conv.","BA.5.3.2","BA.5.2.1",0.514228303983407,-1.13656708356422,2.64111119286748
"50","delta conv.","BA.5.3.2","BE.1.1",-2.35763278856089,-8.4561222578817,1.01888948927789
"51","delta conv.","BA.5.3.2","BF.7",-1.29120003008361,-3.70381882994256,0.557338535112419
"52","delta conv.","BA.5.3.2","BQ.1.3",-1.83885016032107,-6.5168208374457,1.92987597153798
"53","delta conv.","BA.5.3.2","BQ.1.1",-3.06714476472375,-23.3953877226339,6.46723168620645
"54","delta conv.","BA.5.3.2","BQ.1.18",-10.2974755476444,-202.443594885364,-3.38133979734338
"55","delta conv.","BA.5.3.2","XBB.1",-2.04299311407203,-9.7296918480302,3.36606963199753
"56","delta conv.","BA.5.3.2","XBB.1.5",-1.77000575409558,-8.95720865597214,3.64713376850437
"57","delta conv.","BA.5.3.2","XBF",-4.22992326348729,-25.6663215241862,0.910911429624988
"58","alpha/alpha+E484K conv.","D614G","D614G",0,-0.328765093096146,0.351025434168942
"59","alpha/alpha+E484K conv.","D614G","BA.1",-9.74185184782884,-201.651019131461,-5.89632360870295
"60","alpha/alpha+E484K conv.","D614G","BA.5.3.2",-2.04118812410684,-4.42034142578933,-0.580469018428781
"61","alpha/alpha+E484K conv.","D614G","B.1.1.7",1.85367729829058,1.07545637789724,2.62863093770951
"62","alpha/alpha+E484K conv.","D614G","B.1.351",0.881149838481475,-0.367799904423951,2.11806312160042
"63","alpha/alpha+E484K conv.","D614G","B.1.617.2",-0.440611057203383,-1.28013661036148,0.308493758103637
"64","alpha/alpha+E484K conv.","D614G","BA.2",-2.01898835209952,-3.4756709753315,-1.00924565999397
"65","alpha/alpha+E484K conv.","D614G","CB.1",-4.52139407831866,-20.5521812440944,-2.54131433942496
"66","alpha/alpha+E484K conv.","D614G","BR.3",-9.74185184782884,-194.861620664296,-5.57416819273013
"67","alpha/alpha+E484K conv.","D614G","CH.1.1",-2.99415437247583,-6.47803040195206,-1.29010312451043
"68","alpha/alpha+E484K conv.","D614G","BA.5.2.1",-1.32102941445004,-3.51452686997114,0.166602201986466
"69","alpha/alpha+E484K conv.","D614G","BE.1.1",-2.20991678713078,-4.78946679855835,-0.689236380871214
"70","alpha/alpha+E484K conv.","D614G","BF.7",-2.61767370005241,-5.23976973614399,-1.30751583396609
"71","alpha/alpha+E484K conv.","D614G","BQ.1.3",-3.80912899815433,-12.9420383251653,-1.76995706504252
"72","alpha/alpha+E484K conv.","D614G","BQ.1.1",-4.25145907875242,-14.6525861393144,-1.84708881524214
"73","alpha/alpha+E484K conv.","D614G","BQ.1.18",-3.83375932734072,-15.4296392503329,-1.37980180242713
"74","alpha/alpha+E484K conv.","D614G","XBB.1",-2.24450970233135,-4.40683020862059,-0.814059928325856
"75","alpha/alpha+E484K conv.","D614G","XBB.1.5",-2.27017189361307,-4.77976759461507,-1.04204893542121
"76","alpha/alpha+E484K conv.","D614G","XBF",-9.74185184782884,-203.931965605232,-5.31516473335093
"77","alpha/alpha+E484K conv.","BA.1","D614G",9.74185184780952,4.60766404239814,200.196015544772
"78","alpha/alpha+E484K conv.","BA.1","BA.1",0,-200.049967809909,194.465818253472
"79","alpha/alpha+E484K conv.","BA.1","BA.5.3.2",9.4917989196303,4.81372381346179,198.767260554475
"80","alpha/alpha+E484K conv.","BA.1","B.1.1.7",11.1295317052965,7.25227584135332,200.907396428618
"81","alpha/alpha+E484K conv.","BA.1","B.1.351",10.4643168494717,6.98694123691046,198.431804256171
"82","alpha/alpha+E484K conv.","BA.1","B.1.617.2",9.01796070258644,5.17119460526304,197.03216973273
"83","alpha/alpha+E484K conv.","BA.1","BA.2",8.30114268968943,4.2025350785542,201.560086566104
"84","alpha/alpha+E484K conv.","BA.1","CB.1",6.19016883544308,-2.87966921593737,198.617304905497
"85","alpha/alpha+E484K conv.","BA.1","BR.3",0,-195.054103763591,202.723141772641
"86","alpha/alpha+E484K conv.","BA.1","CH.1.1",6.95937688981782,2.7814258510175,203.589598801403
"87","alpha/alpha+E484K conv.","BA.1","BA.5.2.1",10.2401302487559,4.96956999467987,198.978910903648
"88","alpha/alpha+E484K conv.","BA.1","BE.1.1",9.18559548480933,3.72255510568885,199.052387522526
"89","alpha/alpha+E484K conv.","BA.1","BF.7",7.97921547937254,3.17940327113008,199.712184083013
"90","alpha/alpha+E484K conv.","BA.1","BQ.1.3",7.48240863657661,-0.275140578252772,197.764576315583
"91","alpha/alpha+E484K conv.","BA.1","BQ.1.1",6.34204289345189,0.0708858665288403,201.801632531719
"92","alpha/alpha+E484K conv.","BA.1","BQ.1.18",8.6100707508289,2.32214399326224,197.743892438682
"93","alpha/alpha+E484K conv.","BA.1","XBB.1",7.19452314137984,3.15302567434367,198.968238504601
"94","alpha/alpha+E484K conv.","BA.1","XBB.1.5",8.60203985523886,4.44320995016421,197.517730675404
"95","alpha/alpha+E484K conv.","BA.1","XBF",0,-199.360874696926,191.416763555164
"96","alpha/alpha+E484K conv.","BA.5.3.2","D614G",2.04118812410684,0.573806434562327,4.43247849062629
"97","alpha/alpha+E484K conv.","BA.5.3.2","BA.1",-9.4917989196303,-200.943214014339,-5.1124503026231
"98","alpha/alpha+E484K conv.","BA.5.3.2","BA.5.3.2",0,-1.01928493768261,1.01008103692345
